Title,Price,PID,Details
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT","$ 85,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT
"6 Bedroom Detached Duplex With Bq 
Banana Island Estate , Ikoyi Lagos
 6 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 60,000,000/year","Banana Island Estate , Ikoyi Lagos",6 Bedroom Detached Duplex With Bq / House FOR Rent
"5 Bedroom Semi Detached Duplex With Bq 
Mojisola Onikoyi Estate Ikoyi Lagos
 5 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 40,000,000/year",Mojisola Onikoyi Estate Ikoyi Lagos,5 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"3 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 15,000,000/year",Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Self Serviced 6 Bedroom Detached House+2bq 
Banana Island Estate Banana Island Ikoyi Lagos
 Self Serviced 6 Bedroom Detached House+2bq / House FOR Rent","₦ 55,000,000/year",Banana Island Estate Banana Island Ikoyi Lagos,Self Serviced 6 Bedroom Detached House+2bq / House FOR Rent
"Self Serviced 4 Bedroom Semi Detached Duplex With Bq 
Parkview Estate Ikoyi Lagos
 Self Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 15,000,000/year",Parkview Estate Ikoyi Lagos,Self Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"Serviced Ground Floor 3 Bedroom Apartment+bq+pool 
Old Ikoyi Ikoyi Lagos
 Serviced Ground Floor 3 Bedroom Apartment+bq+pool / Flat Apartment FOR Rent","₦ 15,000,000/year",Old Ikoyi Ikoyi Lagos,Serviced Ground Floor 3 Bedroom Apartment+bq+pool / Flat Apartment FOR Rent
"3 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","$ 95,000/year",Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"3 Bedroom Apartment +bq+gym+tennis Etc 
Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment +bq+gym+tennis Etc / Flat Apartment FOR Rent","₦ 16,999,999/year",Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment +bq+gym+tennis Etc / Flat Apartment FOR Rent
"Luxury 3 Bedroom Apartment+bq+ Pool+gym 
Old Ikoyi Ikoyi Lagos
 Luxury 3 Bedroom Apartment+bq+ Pool+gym / Flat Apartment FOR Rent","₦ 29,999,999/year",Old Ikoyi Ikoyi Lagos,Luxury 3 Bedroom Apartment+bq+ Pool+gym / Flat Apartment FOR Rent
