Title,Price,PID,Details
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT","$ 85,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat / Apartment FOR RENT
"Self Serviced 6 Bedroom Detached House+2bq 
Banana Island Estate Banana Island Ikoyi Lagos
 Self Serviced 6 Bedroom Detached House+2bq / House FOR Rent","₦ 55,000,000/year",Banana Island Estate Banana Island Ikoyi Lagos,Self Serviced 6 Bedroom Detached House+2bq / House FOR Rent
"4 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 32,000,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Self Serviced 4 Bedroom Semi Detached Duplex With Bq 
Parkview Estate Ikoyi Lagos
 Self Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 15,000,000/year",Parkview Estate Ikoyi Lagos,Self Serviced 4 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"Serviced Ground Floor 3 Bedroom Apartment+bq+pool 
Old Ikoyi Ikoyi Lagos
 Serviced Ground Floor 3 Bedroom Apartment+bq+pool / Flat Apartment FOR Rent","₦ 15,000,000/year",Old Ikoyi Ikoyi Lagos,Serviced Ground Floor 3 Bedroom Apartment+bq+pool / Flat Apartment FOR Rent
"7 Bedroom Detached Duplex With 2 Bq 
Parkview Estate Ikoyi Lagos
 7 Bedroom Detached Duplex With 2 Bq / House FOR Rent","₦ 35,000,000/year",Parkview Estate Ikoyi Lagos,7 Bedroom Detached Duplex With 2 Bq / House FOR Rent
"5 Bedroom Semi Detached Duplex With Bq 
Mojisola Onikoyi Estate Ikoyi Lagos
 5 Bedroom Semi Detached Duplex With Bq / House FOR Rent","₦ 40,000,000/year",Mojisola Onikoyi Estate Ikoyi Lagos,5 Bedroom Semi Detached Duplex With Bq / House FOR Rent
"3 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 15,000,000/year",Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 24,999,900/year",Banana Island Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"6 Bedroom Detached Duplex With Bq 
Banana Island Estate , Ikoyi Lagos
 6 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 60,000,000/year","Banana Island Estate , Ikoyi Lagos",6 Bedroom Detached Duplex With Bq / House FOR Rent
"5 Bedroom Fully Detached Duplex + Bq, Pool & Rooftop 
Ikota Lekki Lagos
 5 Bedroom Fully Detached Duplex + Bq, Pool & Rooftop / House FOR SALE","₦ 280,000,000",Ikota Lekki Lagos,"5 Bedroom Fully Detached Duplex + Bq, Pool & Rooftop / House FOR SALE"
"4 Bedroom Terrace House (no Bq) 
Ahmadu Bello Way Victoria Island Lagos
 4 Bedroom Terrace House (no Bq) / House FOR Rent","₦ 10,000,000/year",Ahmadu Bello Way Victoria Island Lagos,4 Bedroom Terrace House (no Bq) / House FOR Rent
"5 Bedroom Detached Duplex With Bq 
Banana Island Ikoyi Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Rent","$ 149,000/year",Banana Island Ikoyi Lagos,5 Bedroom Detached Duplex With Bq / House FOR Rent
"3 Bedroom Apartment With Bq 
Banana Island Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 18,000,000/year",Banana Island Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Estate Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 23,000,000/year",Banana Island Estate Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"3 Bedroom Apartment 
Banana Island Estate Ikoyi Lagos
 3 Bedroom Apartment / Flat Apartment FOR Rent","₦ 20,000,000/year",Banana Island Estate Ikoyi Lagos,3 Bedroom Apartment / Flat Apartment FOR Rent
"2 Bedroom Apartment With Bq 
Central Ikoyi Lagos
 2 Bedroom Apartment With Bq / Flat Apartment FOR Rent","$ 30,000/year",Central Ikoyi Lagos,2 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"Furnished 3 Bedroom Penthouse With Bq 
Old Ikoyi Ikoyi Lagos
 Furnished 3 Bedroom Penthouse With Bq / Flat Apartment FOR Rent","₦ 35,000,000/year",Old Ikoyi Ikoyi Lagos,Furnished 3 Bedroom Penthouse With Bq / Flat Apartment FOR Rent
"4 Bedroom Apartment With Bq 
Parkview Estate Ikoyi Lagos
 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 20,000,000/year",Parkview Estate Ikoyi Lagos,4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"3 Bedroom Apartment With Bq 
Old Ikoyi Ikoyi Lagos
 3 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 25,000,000/year",Old Ikoyi Ikoyi Lagos,3 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Off Bourdillon Road Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 25,000,000/year",Off Bourdillon Road Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 20,000,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Banana Island Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 29,999,990/year",Banana Island Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"3 Bedroom Terrace Duplex With Bq 
Ahmadu Bello Way Victoria Island Lagos
 3 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 10,000,000/year",Ahmadu Bello Way Victoria Island Lagos,3 Bedroom Terrace Duplex With Bq / House FOR Rent
"Premium 4 Bedroom Terrace House +bq+pool 
Banana Island Estate Ikoyi Lagos
 Premium 4 Bedroom Terrace House +bq+pool / House FOR Rent","₦ 24,999,999/year",Banana Island Estate Ikoyi Lagos,Premium 4 Bedroom Terrace House +bq+pool / House FOR Rent
"6 Bedroom Detached Duplex With Bq 
Banana Island Ikoyi Lagos
 6 Bedroom Detached Duplex With Bq / House FOR Rent","₦ 59,000,000/year",Banana Island Ikoyi Lagos,6 Bedroom Detached Duplex With Bq / House FOR Rent
"4 Bedroom Terrace Duplex With Bq 
Old Ikoyi Ikoyi Lagos
 4 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 29,990,000/year",Old Ikoyi Ikoyi Lagos,4 Bedroom Terrace Duplex With Bq / House FOR Rent
"Waterfront 4 Bedroom Apartment With Bq 
Banana Island Ikoyi Lagos
 Waterfront 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent","₦ 35,000,000/year",Banana Island Ikoyi Lagos,Waterfront 4 Bedroom Apartment With Bq / Flat Apartment FOR Rent
"8 Bedroom Detached Duplex With 
Parkview Estate Ikoyi Lagos
 8 Bedroom Detached Duplex With / House FOR Rent","₦ 35,000,000/year",Parkview Estate Ikoyi Lagos,8 Bedroom Detached Duplex With / House FOR Rent
"3 Bedroom Terrace Duplex With Bq 
Old Ikoyi Ikoyi Lagos
 3 Bedroom Terrace Duplex With Bq / House FOR Rent","₦ 22,000,000/year",Old Ikoyi Ikoyi Lagos,3 Bedroom Terrace Duplex With Bq / House FOR Rent
