Title,Price,PID,Details
"Site And Serviced 600sqm Of Land 
Beachfront Park And Garden Estate Eleko Ibeju Lekki Lagos
 Site And Serviced 600sqm Of Land / Land FOR SALE","₦ 8,500,000",Beachfront Park And Garden Estate Eleko Ibeju Lekki Lagos,Site And Serviced 600sqm Of Land / Land FOR SALE
"Lovely 3 Bedroom Apartment 
Ikoyi Lagos
 Lovely 3 Bedroom Apartment / House FOR Sale","₦ 500,000,000",Ikoyi Lagos,Lovely 3 Bedroom Apartment / House FOR Sale
"Brand New 5 Bedroom Detached Duplex 
Ikate Lekki Lagos
 Brand New 5 Bedroom Detached Duplex / House FOR Sale","₦ 350,000,000",Ikate Lekki Lagos,Brand New 5 Bedroom Detached Duplex / House FOR Sale
"Magnificent 5 Bedroom Detached Duplex 
Pinnock Estate Osapa London Lekki Lagos
 Magnificent 5 Bedroom Detached Duplex / House FOR Sale","$ 1,500,000",Pinnock Estate Osapa London Lekki Lagos,Magnificent 5 Bedroom Detached Duplex / House FOR Sale
"Brand New 5 Bedroom Detached Duplex 
Chevron Lekki Lagos
 Brand New 5 Bedroom Detached Duplex / House FOR Sale","₦ 350,000,000",Chevron Lekki Lagos,Brand New 5 Bedroom Detached Duplex / House FOR Sale
"Beautifully Built 2 Bedroom Apartment 
Lekki Phase 1 Lekki Lagos
 Beautifully Built 2 Bedroom Apartment / House FOR Sale","₦ 175,000,000",Lekki Phase 1 Lekki Lagos,Beautifully Built 2 Bedroom Apartment / House FOR Sale
"Lovely 3 Bedroom Apartments 
Ikate Lekki Lagos
 Lovely 3 Bedroom Apartments / House FOR Sale","₦ 170,000,000",Ikate Lekki Lagos,Lovely 3 Bedroom Apartments / House FOR Sale
"2 Bedroom Apartments 
Ikate Lekki Lagos
 2 Bedroom Apartments / House FOR Sale","₦ 150,000,000",Ikate Lekki Lagos,2 Bedroom Apartments / House FOR Sale
"Brand New 4 Bedroom Terrace Duplex 
Ikate Lekki Lagos
 Brand New 4 Bedroom Terrace Duplex / House FOR Sale","₦ 220,000,000",Ikate Lekki Lagos,Brand New 4 Bedroom Terrace Duplex / House FOR Sale
"Massive 5 Bedroom Detached Duplex 
Lekki Phase 1 Lekki Lagos
 Massive 5 Bedroom Detached Duplex / House FOR Sale","₦ 850,000,000",Lekki Phase 1 Lekki Lagos,Massive 5 Bedroom Detached Duplex / House FOR Sale
"Extremely Spacious 3 Bedroom Apartment F 
Lekki Phase 1 Lekki Lagos
 Extremely Spacious 3 Bedroom Apartment F / House FOR SALE","₦ 160,000,000",Lekki Phase 1 Lekki Lagos,Extremely Spacious 3 Bedroom Apartment F / House FOR SALE
"Furnished 2 Bedroom Apartments 
Ologolo Lekki Lagos
 Furnished 2 Bedroom Apartments / House FOR Sale","₦ 90,000,000",Ologolo Lekki Lagos,Furnished 2 Bedroom Apartments / House FOR Sale
"5 Bedroom Detached Duplex With Bq 
Toll Gate Chevron Lekki Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 298,000,000",Toll Gate Chevron Lekki Lagos,5 Bedroom Detached Duplex With Bq / House FOR Sale
"Contemporary 5 Bedroom Detached Duplex With Bq 
Sangotedo Ajah Lagos
 Contemporary 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 160,000,000",Sangotedo Ajah Lagos,Contemporary 5 Bedroom Detached Duplex With Bq / House FOR Sale
"Newly Built 4 Bedroom Terrace Duplex 
Kado Abuja
 Newly Built 4 Bedroom Terrace Duplex / House FOR Sale","₦ 210,000,000",Kado Abuja,Newly Built 4 Bedroom Terrace Duplex / House FOR Sale
"Newly Built 4 Bedroom Terrace Duplex With Bq 
Kado Kado Abuja
 Newly Built 4 Bedroom Terrace Duplex With Bq / House FOR Sale","₦ 186,000,000",Kado Kado Abuja,Newly Built 4 Bedroom Terrace Duplex With Bq / House FOR Sale
"10 Unit Of 3 Bedroom Apartment Including Penthouse 
Lekki Phase 1 Lekki Lagos
 10 Unit Of 3 Bedroom Apartment Including Penthouse / Flat Apartment FOR Sale","₦ 1,600,000,000",Lekki Phase 1 Lekki Lagos,10 Unit Of 3 Bedroom Apartment Including Penthouse / Flat Apartment FOR Sale
"Luxury 5 Bedroom Detached Duplex With Bq 
Osapa London Lekki Lagos
 Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 550,000,000",Osapa London Lekki Lagos,Luxury 5 Bedroom Detached Duplex With Bq / House FOR Sale
"4 Bedroom Semi Detached Duplex With Bq 
Chevron Toll Gate Lekki Lagos
 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale","₦ 135,000,000",Chevron Toll Gate Lekki Lagos,4 Bedroom Semi Detached Duplex With Bq / House FOR Sale
"2 Units Of 2 Bedroom Bungalow 
Bashorun Housing Estate Ibadan Oyo
 2 Units Of 2 Bedroom Bungalow / House FOR Sale","₦ 80,000,000",Bashorun Housing Estate Ibadan Oyo,2 Units Of 2 Bedroom Bungalow / House FOR Sale
"5 Bedroom Detached Duplex With Bq 
Ajah Lagos
 5 Bedroom Detached Duplex With Bq / House FOR Sale","$ 900,000",Ajah Lagos,5 Bedroom Detached Duplex With Bq / House FOR Sale
"Luxury 4 Bedroom Detached Duplex With Bq 
Ikota Lekki Lagos
 Luxury 4 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 130,000,000",Ikota Lekki Lagos,Luxury 4 Bedroom Detached Duplex With Bq / House FOR Sale
"Luxury 4 Bedroom Semi Detached Duplex With Bq 
Chevron Lekki Lagos
 Luxury 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale","₦ 150,000,000",Chevron Lekki Lagos,Luxury 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale
"Beautiful Luxury 5 Bedroom Semi Detached Duplex With Bq 
Chevron Toll Gate Chevron Lekki Lagos
 Beautiful Luxury 5 Bedroom Semi Detached Duplex With Bq / House FOR Sale","₦ 120,000,000",Chevron Toll Gate Chevron Lekki Lagos,Beautiful Luxury 5 Bedroom Semi Detached Duplex With Bq / House FOR Sale
"Beautiful Luxury 4 Bedroom Terrace Duplex 
Ajah Lagos
 Beautiful Luxury 4 Bedroom Terrace Duplex / House FOR Sale","₦ 70,000,000",Ajah Lagos,Beautiful Luxury 4 Bedroom Terrace Duplex / House FOR Sale
"5 Bedroom Semi Detached Duplex 
Orchid Road Lekki Lagos
 5 Bedroom Semi Detached Duplex / House FOR Sale","₦ 140,000,000",Orchid Road Lekki Lagos,5 Bedroom Semi Detached Duplex / House FOR Sale
"Lovely 2 & 4 Bedroom Apartment With Pool; 
Lekki Phase 1 Lekki Lagos
 Lovely 2 & 4 Bedroom Apartment With Pool; / Flat Apartment FOR Sale","₦ 200,000,000",Lekki Phase 1 Lekki Lagos,Lovely 2 & 4 Bedroom Apartment With Pool; / Flat Apartment FOR Sale
"Luxury 4 Bedroom Penthouse With Bq 
Victoria Island Lagos
 Luxury 4 Bedroom Penthouse With Bq / House FOR Sale","$ 1,200,000",Victoria Island Lagos,Luxury 4 Bedroom Penthouse With Bq / House FOR Sale
"Contemporary 4 Bedroom Semi Detached Duplex With Bq 
Ologolo Lekki Lagos
 Contemporary 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale","₦ 150,000,000",Ologolo Lekki Lagos,Contemporary 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale
"Luxury 4 Bedroom Detached Duplex With Bq 
Chevron Lekki Lagos
 Luxury 4 Bedroom Detached Duplex With Bq / House FOR Sale","₦ 180,000,000",Chevron Lekki Lagos,Luxury 4 Bedroom Detached Duplex With Bq / House FOR Sale
"4 Bedroom Fully Detached Duplex With Bq 
Chevron Lekki Lagos
 4 Bedroom Fully Detached Duplex With Bq / House FOR Sale","₦ 240,000,000",Chevron Lekki Lagos,4 Bedroom Fully Detached Duplex With Bq / House FOR Sale
"Newly Built 4 Bedroom Semi Detached Duplex + Bq 
Agungi Lekki Lagos
 Newly Built 4 Bedroom Semi Detached Duplex + Bq / House FOR Sale","₦ 150,000,000",Agungi Lekki Lagos,Newly Built 4 Bedroom Semi Detached Duplex + Bq / House FOR Sale
"Brand New 4 Bedroom Semi Detached Duplex With Bq 
Old Ikoyi Ikoyi Lagos
 Brand New 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale","₦ 700,000,000",Old Ikoyi Ikoyi Lagos,Brand New 4 Bedroom Semi Detached Duplex With Bq / House FOR Sale
"Fully Furnished 2 Bedroom Aartement 
Ikate Lekki Lagos
 Fully Furnished 2 Bedroom Aartement / Flat Apartment FOR Sale","₦ 160,000,000",Ikate Lekki Lagos,Fully Furnished 2 Bedroom Aartement / Flat Apartment FOR Sale
